TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-26 14:12:00,adservice,cpu,4217,180
2022-03-26 14:30:00,cartservice,cpu,4235,180
2022-03-26 14:49:00,cartservice,faulty-update,4254,180
2022-03-26 15:10:00,emailservice,faulty-update,4275,180
2022-03-26 15:29:00,adservice,faulty-update,4294,180
2022-03-26 15:48:00,checkout,excessive flow,4313,180
2022-03-26 16:08:00,index,excessive flow,4333,180
2022-03-26 16:27:00,adservice,faulty-update,4352,180
2022-03-26 16:45:00,mysql,db_delay,4370,180
2022-03-26 17:04:00,checkoutservice,latency,4389,180
2022-03-26 17:24:00,addtocart,excessive flow,4409,180
2022-03-26 17:42:00,mysql,db_delay,4427,180
2022-03-26 18:00:00,paymentservice,faulty-update,4445,180
2022-03-26 18:19:00,shippingservice,faulty-update,4464,180
2022-03-26 18:37:00,browseproduct,excessive flow,4482,180
2022-03-26 18:57:00,productcatalogservice,cpu,4502,180
2022-03-26 19:16:00,checkoutservice,faulty-update,4521,180
2022-03-26 19:36:00,adservice,cpu,4541,180
2022-03-26 19:55:00,shippingservice,faulty-update,4560,180
2022-03-26 20:14:00,recommendationservice,faulty-update,4579,180
2022-03-26 20:32:00,checkout,excessive flow,4597,180
2022-03-26 20:51:00,addtocart,excessive flow,4616,180
2022-03-26 21:11:00,adservice,faulty-update,4636,180
2022-03-26 21:29:00,shippingservice,cpu,4654,180
2022-03-26 21:48:00,shippingservice,faulty-update,4673,180
2022-03-26 22:06:00,emailservice,faulty-update,4691,180
2022-03-26 22:25:00,addtocart,excessive flow,4710,180
2022-03-26 22:43:00,checkoutservice,latency,4728,180
2022-03-26 23:02:00,adservice,cpu,4747,180
2022-03-26 23:21:00,emailservice,faulty-update,4766,180
2022-03-26 23:40:00,emailservice,faulty-update,4785,180
2022-03-26 23:58:00,checkoutservice,cpu,4803,180
2022-03-27 00:17:00,adservice,cpu,4822,180
2022-03-27 00:37:00,mysql,db_delay,4842,180
2022-03-27 00:55:00,emailservice,faulty-update,4860,180
2022-03-27 01:14:00,productcatalogservice,latency,4879,180
2022-03-27 01:32:00,index,excessive flow,4897,180
